company,date,score
BGF리테일,2025-01-13,0.55682516
BGF리테일,2025-01-12,-0.99867606
BGF리테일,2025-01-10,0.3216237
BGF리테일,2025-01-09,5.930662e-06
BGF리테일,2025-01-08,0.95085716
BGF리테일,2025-01-07,0.00042310357
BGF리테일,2025-01-02,0.9999611
BGF리테일,2024-12-30,-0.5015192
BGF리테일,2024-12-29,0.50007385
BGF리테일,2024-12-25,2.5451183e-05
BGF리테일,2024-12-24,7.5101852e-06
BGF리테일,2024-12-23,3.7550926e-06
BGF리테일,2024-12-19,0.68955994
BGF리테일,2024-12-18,1.1324883e-06
BGF리테일,2024-12-17,-0.0034942627
BGF리테일,2024-12-15,-6.8843365e-06
BGF리테일,2024-12-11,0.0022819042
BGF리테일,2024-12-10,0.9999656
BGF리테일,2024-12-09,0.012174964
BGF리테일,2024-12-08,0.9942553
BGF리테일,2024-12-05,0.003763616
BGF리테일,2024-12-04,-1.3113022e-05
BGF리테일,2024-12-03,-1.9907951e-05
BGF리테일,2024-12-02,1.2010336e-05
BGF리테일,2024-12-01,0.99994785
BGF리테일,2024-11-29,4.440546e-06
BGF리테일,2024-11-28,7.122755e-06
BGF리테일,2024-11-27,-0.00047527254
BGF리테일,2024-11-26,2.7805567e-05
BGF리테일,2024-11-25,-0.33247688
BGF리테일,2024-11-24,0.9999611
BGF리테일,2024-11-22,9.000301e-06
BGF리테일,2024-11-21,0.0038530827
BGF리테일,2024-11-18,0.4923849
BGF리테일,2024-11-17,-1.4781952e-05
BGF리테일,2024-11-16,-0.89966726
BGF리테일,2024-11-15,0.000101292135
BGF리테일,2024-11-14,4.3213367e-06
BGF리테일,2024-11-13,0.994339
BGF리테일,2024-11-12,0.3334416
BGF리테일,2024-11-11,0.49975842
BGF리테일,2024-11-08,0.00031250715
BGF리테일,2024-11-07,0.7297867
BGF리테일,2024-11-06,5.0336123e-05
BGF리테일,2024-11-05,0.2493123
BGF리테일,2024-11-04,-5.2452087e-06
BGF리테일,2024-11-03,0.0031743348
BGF리테일,2024-11-01,0.00014281273
BGF리테일,2024-10-31,0.6658228
BGF리테일,2024-10-30,4.6551228e-05
BGF리테일,2024-10-29,0.9650874
BGF리테일,2024-10-28,0.05934465
BGF리테일,2024-10-27,0.79805255
BGF리테일,2024-10-24,-8.881092e-06
BGF리테일,2024-10-23,3.3259391e-06
BGF리테일,2024-10-22,0.5000128
BGF리테일,2024-10-21,0.52292436
BGF리테일,2024-10-20,0.00025057793
BGF리테일,2024-10-19,7.867813e-06
BGF리테일,2024-10-18,-0.5465226
BGF리테일,2024-10-17,0.5174724
BGF리테일,2024-10-16,0.00088334084
BGF리테일,2024-10-15,-0.33312872
BGF리테일,2024-10-14,0.49946672
BGF리테일,2024-10-13,4.23193e-06
BGF리테일,2024-10-10,0.5023056
BGF리테일,2024-10-09,0.99996513
BGF리테일,2024-10-08,0.4292111
BGF리테일,2024-10-07,0.99948174
BGF리테일,2024-10-06,0.08932924
BGF리테일,2024-10-05,1.2397766e-05
BGF리테일,2024-10-04,1.4483929e-05
BGF리테일,2024-10-03,0.99879575
BGF리테일,2024-10-02,0.33296236
BGF리테일,2024-10-01,0.0075160265
BGF리테일,2024-09-30,0.9999592
BGF리테일,2024-09-26,0.49977893
BGF리테일,2024-09-24,-0.33299667
BGF리테일,2024-09-23,0.25007915
BGF리테일,2024-09-22,3.2782555e-06
BGF리테일,2024-09-19,0.39983752
BGF리테일,2024-09-18,0.9999659
BGF리테일,2024-09-13,1.835823e-05
BGF리테일,2024-09-12,0.3164469
BGF리테일,2024-09-11,0.026468068
BGF리테일,2024-09-10,2.3066998e-05
BGF리테일,2024-09-09,0.06687816
BGF리테일,2024-09-08,5.2183867e-05
BGF리테일,2024-09-06,-7.6274075e-05
BGF리테일,2024-09-05,0.25296038
BGF리테일,2024-09-04,0.57096404
BGF리테일,2024-09-03,0.41594112
BGF리테일,2024-09-02,2.026558e-06
BGF리테일,2024-09-01,0.09075606
BGF리테일,2024-08-30,2.503395e-06
BGF리테일,2024-08-29,-0.072162
BGF리테일,2024-08-28,3.284216e-05
BGF리테일,2024-08-27,-5.662441e-07
BGF리테일,2024-08-26,0.49798
BGF리테일,2024-08-25,1.0877848e-05
BGF리테일,2024-08-23,0.6631692
BGF리테일,2024-08-22,0.33250156
BGF리테일,2024-08-21,-1.8000603e-05
BGF리테일,2024-08-20,0.97423744
BGF리테일,2024-08-19,0.64899963
BGF리테일,2024-08-18,0.06654501
BGF리테일,2024-08-15,1.3649464e-05
BGF리테일,2024-08-13,-5.066395e-07
BGF리테일,2024-08-12,0.33315876
BGF리테일,2024-08-11,4.1127205e-05
BGF리테일,2024-08-09,7.5101852e-06
BGF리테일,2024-08-08,7.599592e-06
BGF리테일,2024-08-07,-2.7239323e-05
BGF리테일,2024-08-06,0.012162864
BGF리테일,2024-08-05,0.3652207
BGF리테일,2024-08-04,0.44665638
BGF리테일,2024-08-03,-1.0430813e-05
BGF리테일,2024-08-02,0.06418276
BGF리테일,2024-08-01,-0.99991214
BGF리테일,2024-07-31,1.2278557e-05
BGF리테일,2024-07-30,0.7497315
BGF리테일,2024-07-29,0.333385
BGF리테일,2024-07-26,0.015077919
BGF리테일,2024-07-25,0.99996305
BGF리테일,2024-07-24,-0.00013068318
BGF리테일,2024-07-23,0.9807863
BGF리테일,2024-07-22,0.99997
BGF리테일,2024-07-21,0.9959645
BGF리테일,2024-07-19,0.3512237
BGF리테일,2024-07-18,0.75729376
BGF리테일,2024-07-17,0.021668306
BGF리테일,2024-07-16,0.7500161
BGF리테일,2024-07-15,0.27063748
BGF리테일,2024-07-14,0.4352888
BGF리테일,2024-07-12,0.016261995
BGF리테일,2024-07-11,0.6666507
BGF리테일,2024-07-10,0.12511836
BGF리테일,2024-07-09,0.009338379
BGF리테일,2024-07-08,1.5497208e-06
BGF리테일,2024-07-07,0.020671159
BGF리테일,2024-07-02,0.01061964
BGF리테일,2024-06-27,0.00052660704
BGF리테일,2024-06-20,0.999297
BGF리테일,2024-06-19,0.6768799
BGF리테일,2024-06-14,-0.86499023
BGF리테일,2024-06-13,0.30997086
BGF리테일,2024-06-11,-0.29222018
BGF리테일,2024-06-09,0.99996626
BGF리테일,2024-06-03,5.543232e-06
BGF리테일,2024-05-28,-1.5497208e-06
BGF리테일,2024-05-27,-4.172325e-06
BGF리테일,2024-05-26,0.99997
BGF리테일,2024-05-22,7.56979e-06
BGF리테일,2024-05-21,0.008616626
BGF리테일,2024-05-19,3.2782555e-06
BGF리테일,2024-05-16,1.3709068e-06
BGF리테일,2024-05-08,0.0010147095
BGF리테일,2024-05-02,-0.26144627
BGF리테일,2024-05-01,3.3080578e-06
BGF리테일,2024-04-28,-1.257658e-05
BGF리테일,2024-04-24,0.65724945
BGF리테일,2024-04-23,0.9999597
BGF리테일,2024-04-22,-0.33311066
BGF리테일,2024-04-21,0.30345535
BGF리테일,2024-04-19,-0.9386444
BGF리테일,2024-04-17,9.298325e-06
BGF리테일,2024-04-12,1.2874603e-05
BGF리테일,2024-04-10,0.9980869
BGF리테일,2024-04-08,7.212162e-06
BGF리테일,2024-04-07,0.0016419888
BGF리테일,2024-03-31,1.3947487e-05
BGF리테일,2024-03-25,0.00017732382
BGF리테일,2024-03-21,3.784895e-05
BGF리테일,2024-03-20,0.0029723048
